job_offer_id,client_name,job_offer_name,job_tag,job_offer_areas,job_offer_skill_names,employee_count,established,job_offer_min_salary,job_offer_max_salary,avg_salary
294845,株式会社 WorkX,9/5 AIイベント,その他,['東京都'],"['Python', 'AWS', 'Azure', 'GCP']",105,2018-09-30 15:00:00,600,1400.0,1000.0
294597,株式会社 Nint,データエンジニア,データエンジニア,['東京都'],"['SQL', 'Python', 'R', 'Hadoop', 'AWS', 'MySQL', 'Azure', 'Elasticsearch', 'GCP', 'Spark']",93,2019-01-31 15:00:00,700,1000.0,850.0
294644,イグニション・ポイントフォース 株式会社,AIエンジニア【マネジメント・テックリード・新規事業リーダーへキャリアアップも可能】,AIエンジニア,"['東京都', '三重県', 'フルリモート']","['JavaScript', 'Python', 'Go', 'Django', 'Node.js', 'React', 'TypeScript', 'AWS', 'TensorFlow', 'Salesforce']",70,2020-06-30 15:00:00,400,1000.0,700.0
294609,株式会社 アークウィズコンサルティング,AIエンジニア,AIエンジニア,"['東京都', '神奈川県', '千葉県', '埼玉県', 'フルリモート']","['JavaScript', 'Python', 'Django', 'React', 'AWS', 'Azure']",150,2022-07-31 15:00:00,500,1500.0,1000.0
254730,AZPower 株式会社,AI開発エンジニア,AIエンジニア,"['東京都', 'フルリモート']","['Python', 'Azure']",28,2015-02-28 15:00:00,470,860.0,665.0
288626,株式会社 博報堂テクノロジーズ,【AI領域】データサイエンティスト（広告運用）,データサイエンティスト,['東京都'],"['Python', 'AWS', 'Docker']",461,2022-03-31 15:00:00,700,1300.0,1000.0
294958,株式会社 アクセルスペースホールディングス,地球観測データサイエンティスト,データサイエンティスト,['東京都'],"['Python', 'React', 'TypeScript', 'AWS', 'Docker', 'TensorFlow', 'Processing']",120,2008-07-31 15:00:00,500,1000.0,750.0
294689,株式会社 ドクターネット,AIエンジニア (画像認識、LLM),AIエンジニア,['東京都'],"['ASP', 'React', 'TypeScript', 'AWS', 'MySQL', 'Python3']",153,1994-12-31 15:00:00,700,1200.0,950.0
294795,株式会社 スタンバイ,データサイエンティスト,データサイエンティスト,['東京都'],"['Java', 'Python', 'Scala', 'Go', 'Play Framework', 'TypeScript', 'AWS', 'Docker', 'MySQL', 'Vue.js', 'Nginx', 'Kotlin', 'Azure', 'Lambda', 'Kubernetes', 'Jenkins', 'Elasticsearch', 'Rust', 'GCP', 'Fluentd', 'Nuxt.js', 'Fargate']",245,2019-10-31 15:00:00,700,1200.0,950.0
293781,株式会社 Voicy,AIリードエンジニア,その他,['東京都'],[],32,2016-01-31 15:00:00,900,2000.0,1450.0
295082,株式会社 データホライゾン,システムエンジニア（未経験OK）／広島本社,その他,['広島県'],"['C#', 'SQL', 'Java', 'Oracle']",276,1982-02-28 15:00:00,450,550.0,500.0
294449,ブーストコンサルティング 株式会社,AIエージェント開発エンジニア,その他,['東京都'],"['Java', 'Python', 'Go', 'Node.js', 'AWS', 'Docker', 'Azure', 'GCP']",20,2025-03-31 15:00:00,500,1200.0,850.0
291192,株式会社 BTM,【プロンプトエンジニア】Azure AIに特化した急成長企業！自由度高く開発経験を活かしませんか？,その他,"['東京都', '神奈川県', '千葉県', '埼玉県', '大阪府', '兵庫県', '京都府', '愛知県', '北海道', '青森県', '岩手県', '宮城県', '秋田県', '山形県', '福島県', '茨城県', '栃木県', '群馬県', '新潟県', '富山県', '石川県', '福井県', '山梨県', '長野県', '岐阜県', '静岡県', '三重県', '滋賀県', '奈良県', '和歌山県', '鳥取県', '島根県', '岡山県', '広島県', '山口県', '徳島県', '香川県', '愛媛県', '高知県', '福岡県', '佐賀県', '長崎県', '熊本県', '大分県', '宮崎県', '鹿児島県', '沖縄県', 'フルリモート']","['SQL', 'Docker', 'TensorFlow', 'Azure', 'Kubernetes']",219,2011-07-31 15:00:00,400,900.0,650.0
273756,株式会社 EQUES,AIエンジニア,AIエンジニア,['東京都'],"['Python', 'AWS']",50,2022-01-31 15:00:00,450,1200.0,825.0
294439,OLTA 株式会社,シニアデータサイエンティスト,データサイエンティスト,['東京都'],"['SQL', 'R', 'pandas']",118,2017-03-31 15:00:00,1000,900.0,950.0
280423,株式会社 エーアイスクエア,最先端AI技術を牽引する機械学習エンジニア,AIエンジニア,['東京都'],"['Python', 'Go', 'React', 'TypeScript', 'AWS', 'Docker', 'TensorFlow', 'PostgreSQL', 'Azure', 'Lambda', 'NodeJS', 'scikit-learn', 'Fargate']",35,2015-11-30 15:00:00,600,900.0,750.0
232627,株式会社 エスタイル,AIエンジニア,AIエンジニア,['東京都'],"['Python', 'AWS', 'Azure']",63,2006-06-30 15:00:00,400,600.0,500.0
284800,株式会社 マイナビ,【リモート・時差・副業可】データ仮想基盤の運用担当,その他,['東京都'],[],12400,1973-07-31 15:00:00,450,700.0,575.0
99076,株式会社 ラクスパートナーズ,【機械学習・データサイエンティスト】/Openworkスコア3.9（上位１％）,データサイエンティスト,['東京都'],"['SQL', 'Python', 'AWS', 'Keras', 'pandas']",1108,2018-02-28 15:00:00,370,880.0,625.0
294554,株式会社 Ridge-i,AIエンジニア（PM候補）,AIエンジニア,['東京都'],"['AWS', 'Azure', 'GCP']",84,,800,1200.0,1000.0
131157,株式会社 ジェーエムエーシステムズ,【東京】エンジニア（ChatGPT等の先端技術の開発）【ID0000069】,その他,['東京都'],"['AWS', 'Azure', 'Google Cloud Platform']",329,1971-10-31 15:00:00,699,1084.0,891.5
294183,フリー 株式会社,Business Application Engineer,その他,['東京都'],"['AWS', 'Docker', 'Python3', 'GCP', 'SRE']",1722,2012-06-30 15:00:00,550,950.0,750.0
250301,株式会社 スリーシェイク,Sreake_MLエンジニア,AIエンジニア,"['東京都', '神奈川県', '千葉県', '埼玉県']","['Python', 'AWS', 'Jupyter', 'SRE']",190,2014-12-31 15:00:00,750,1500.0,1125.0
278556,株式会社 Rosso,機械学習（AI）エンジニア,その他,['東京都'],"['Python', 'AWS', 'TensorFlow', 'pandas', 'scikit-learn', 'SAP']",93,2006-04-30 15:00:00,450,800.0,625.0
294517,株式会社 福岡銀行,データサイエンティスト＜福岡銀行＞,データサイエンティスト,['福岡県'],"['SQL', 'Python', 'R']",3718,1945-02-28 15:00:00,600,1500.0,1050.0
282825,株式会社 TWOSTONE&Sons,【急募】★銀行様向け EUCシステム基盤更改★,その他,"['東京都', '神奈川県', '千葉県', '埼玉県', '大阪府', '兵庫県', '京都府', '愛知県', '北海道', '青森県', '岩手県', '宮城県', '秋田県', '山形県', '福島県', '茨城県', '栃木県', '群馬県', '新潟県', '富山県', '石川県', '福井県', '山梨県', '長野県', '岐阜県', '静岡県', '三重県', '滋賀県', '奈良県', '和歌山県', '鳥取県', '島根県', '岡山県', '広島県', '山口県', '徳島県', '香川県', '愛媛県', '高知県', '福岡県', '佐賀県', '長崎県', '熊本県', '大分県', '宮崎県', '鹿児島県', '沖縄県', 'フルリモート']","['SQL', 'AWS']",368,2013-09-30 15:00:00,660,960.0,810.0
294243,VISITS Technologies 株式会社,AIエンジニア(LLMを活用したAIエージェント開発),AIエンジニア,['東京都'],"['Python', 'Azure']",60,2014-05-31 15:00:00,700,900.0,800.0
267012,株式会社 ヘッドウォータース,データエンジニア,データエンジニア,"['東京都', 'フルリモート']","['C', 'C++', 'JavaScript', 'SQL', 'Java', 'Python', 'Node.js', 'Hadoop', 'TypeScript', 'AWS', 'Docker', 'Apache', 'IoT', 'Azure', 'Spark']",290,2005-10-31 15:00:00,600,900.0,750.0
292964,株式会社 Zhienius,AIエージェント開発エンジニア,その他,"['東京都', '神奈川県', '千葉県', '埼玉県', 'フルリモート']","['Ruby', 'Java', 'Python', 'Ruby on Rails', 'Django', 'Node.js', 'React', 'TypeScript', 'AWS', 'Docker', 'MySQL', 'Laravel', 'Nginx', 'Apache', 'Azure', 'Oracle', 'MongoDB', 'Spring', 'GCP', 'Redis', 'SQLServer']",10,2020-11-30 15:00:00,510,1200.0,855.0
285065,One人事 株式会社,Webエンジニア職 AI・DX案件に携わるチャンス/人気案件/AI開発やDX案件など,その他,"['東京都', '神奈川県', '千葉県', '埼玉県', '大阪府', '兵庫県', '京都府', '愛知県', '北海道', '宮城県', '茨城県', '栃木県', '群馬県', '広島県', '福岡県']","['JavaScript', 'Python', 'Node.js', 'React', 'TypeScript', 'AWS', 'Vue.js', 'Azure', 'Firebase', 'Express', 'Nuxt.js', 'Flutter']",351,2008-09-30 15:00:00,400,900.0,650.0
215296,株式会社 インサイトテクノロジー,01.DBエンジニア #常駐なし #リモート・フレックス有,データエンジニア,['東京都'],"['PostgreSQL', 'Oracle', 'SQLServer']",100,1995-06-30 15:00:00,600,900.0,750.0
187679,株式会社 メンバーズ メンバーズデータアドベンチャーカンパニー,（職種未経験者歓迎）データエンジニア,データエンジニア,"['東京都', '神奈川県']","['C', 'SQL', 'Java', 'Python', 'R', 'AWS', 'MySQL', 'PostgreSQL', 'Lambda', 'GCP']",2303,1995-05-31 15:00:00,400,600.0,500.0
294323,株式会社 kickflow,ソフトウェアエンジニア（AI）,その他,['フルリモート'],"['Ruby', 'Ruby on Rails']",34,2020-01-31 15:00:00,600,1600.0,1100.0
261375,KYLA 株式会社,データサイエンティスト/アナリスト/AI開発,データサイエンティスト,"['東京都', '神奈川県', '千葉県', '埼玉県']","['SQL', 'Java', 'Python', 'Scala', 'R', 'AWS', 'TensorFlow', 'pandas']",50,,400,780.0,590.0
287463,株式会社 WEEL,フルリモ×前職給与完全保証｜日本全国から生成AI市場を加速させるエンジニアを募集しています！,その他,"['東京都', 'フルリモート']","['Python', 'React', 'TypeScript', 'AWS', 'Docker', 'Azure', 'Lambda']",20,2017-08-31 15:00:00,450,700.0,575.0
293440,株式会社 NextBits,AI開発エンジニア,AIエンジニア,"['東京都', '神奈川県', '千葉県', '埼玉県']","['Python', 'AWS', 'Azure', 'Lambda', 'Kubernetes']",6,2021-08-31 15:00:00,400,600.0,500.0
294524,株式会社 カオナビ,【AI推進室】ソフトウェアエンジニア,その他,"['東京都', 'フルリモート']",[],394,2008-04-30 15:00:00,750,1200.0,975.0
253073,株式会社 フォーク,データサイエンティスト,データサイエンティスト,['東京都'],"['SQL', 'Python', 'R', 'Hadoop', 'AWS', 'GCP', 'Spark']",203,1999-04-30 15:00:00,433,802.0,617.5
294052,10X 株式会社,最先端AI技術を習得！未来を創る生成AIエンジニアを募集！,AIエンジニア,"['東京都', '神奈川県', '千葉県', '埼玉県', '大阪府', '兵庫県', '京都府', '愛知県', '福岡県']","['Java', 'Python']",20,2020-01-31 15:00:00,500,1040.0,770.0
99690,株式会社 スマレジ,AIエンジニア（⼤阪）,AIエンジニア,['大阪府'],"['Python', 'AWS', 'Docker', 'IoT', 'Jupyter']",322,2005-04-30 15:00:00,400,800.0,600.0
277047,LINE Digital Frontier 株式会社,データサイエンティスト/ LINEマンガ/ LINE Digital Frontier,データサイエンティスト,['東京都'],"['SQL', 'Python', 'R', 'iOS']",500,2018-06-30 15:00:00,800,1200.0,1000.0
163804,ピセ 株式会社,開発エンジニア（データマート）,その他,['東京都'],"['SQL', 'Oracle']",120,1992-08-31 15:00:00,330,510.0,420.0
276448,株式会社 ギブリー,【AI Lab】AIエンジニア,AIエンジニア,"['東京都', 'フルリモート']","['Python', 'React', 'TypeScript', 'AWS', 'MySQL', 'PostgreSQL', 'Azure', 'GCP', 'Flask']",581,2009-03-31 15:00:00,720,1100.0,910.0
287905,株式会社 e-Mint,【Pythonエンジニア】急成長のスタートアップ企業でAI×SESエンジニアを募集中,その他,"['東京都', '神奈川県', '千葉県', '埼玉県', '茨城県', '栃木県', '群馬県']","['Java', 'Python', 'TypeScript', 'Spring']",15,2024-10-31 15:00:00,400,1200.0,800.0
279031,株式会社 IRIAM,データストラテジスト,その他,"['東京都', 'フルリモート']",['SQL'],132,2020-04-30 15:00:00,900,1400.0,1150.0
269447,株式会社 ラクス,東京／AI(精算)／C3-SP[開発],その他,['東京都'],['Python'],3086,2000-10-31 15:00:00,648,966.0,807.0
285739,株式会社 フォーデジット,Engineer (AI開発活用),その他,['東京都'],"['JavaScript', 'SQL', 'Python', 'Node.js', 'React', 'TypeScript', 'AWS', 'Lambda', 'OpenCV', 'MongoDB', 'pandas', 'Matplotlib', 'Express']",179,2001-06-30 15:00:00,500,1000.0,750.0
264349,DATUM STUDIO 株式会社,データエンジニア,データエンジニア,['東京都'],"['SQL', 'Java', 'Python', 'Scala', 'Hadoop', 'AWS', 'Azure', 'GCP', 'Spark']",148,2014-07-31 15:00:00,570,800.0,685.0
289920,アナグラム 株式会社,※CTO候補※マーケ支援会社のデータエンジニア／テックリード【安定した事業基盤のもと、裁量を持ってゼロイチに挑戦したい方】,データエンジニア,['東京都'],"['SQL', 'AWS', 'GCP']",120,2010-03-31 15:00:00,1000,900.0,950.0
269598,株式会社 KMS,toB×自社プロダクト｜Chat GPTを超えるAIモデルを作りませんか？,その他,['東京都'],"['C#', 'JavaScript', 'ASP', 'ASP.NET', 'SQL', 'PHP', 'Ruby', 'Java', 'Python', 'AWS', 'Azure', 'Redis']",230,2015-06-30 15:00:00,450,750.0,600.0
236879,株式会社 ニコンシステム,〈DM-1〉【札幌】映像・新規事業システム開発,その他,['北海道'],"['C', 'Python']",475,1986-03-31 15:00:00,500,800.0,650.0
269155,株式会社 ピアズ,未経験エンジニア,その他,['東京都'],[],815,2004-12-31 15:00:00,280,360.0,320.0
