,job_offer_id,job_offer_name,job_offer_areas,job_offer_min_salary,job_offer_max_salary,job_offer_skill_names,client_name,employee_count
0,294052,最先端AI技術を習得！未来を創る生成AIエンジニアを募集！,"['東京都', '神奈川県', '千葉県', '埼玉県', '大阪府', '兵庫県', '京都府', '愛知県', '福岡県']",500,1040,"['Java', 'Python']",10X 株式会社,20
1,293842,AI/NLPエンジニア（ナレッジグラフ＆セマンティックシステム）技術リーダー,['東京都'],1500,2200,[],Polimill 株式会社,20
2,294323,ソフトウェアエンジニア（AI）,['フルリモート'],600,1600,"['Ruby', 'Ruby on Rails']",株式会社 kickflow,34
3,294243,AIエンジニア(LLMを活用したAIエージェント開発),['東京都'],700,900,"['Python', 'Azure']",VISITS Technologies 株式会社,60
4,267455,データエンジニア（メンバー）,['大阪府'],540,840,"['SQL', 'Python', 'AWS', 'Docker', 'MySQL', 'PostgreSQL', 'Lambda', 'Oracle', 'GCP', 'Redis', 'SQLServer']",ナッシュ 株式会社,460
5,294081,データエンジニア（メンバーポジション）,['東京都'],400,550,"['SQL', 'Python', 'AWS', 'Azure', 'GCP']",株式会社 cococo,10
6,271423,【DX事業開発部】AIコンサルティングエンジニア,['東京都'],320,800,"['Python', 'TensorFlow']",株式会社 VRAIN Solution,97
7,273756,AIエンジニア,['東京都'],450,1200,"['Python', 'AWS']",株式会社 EQUES,50
8,292720,AIソリューションアーキテクト／技術開発本部,['東京都'],800,1500,"['AWS', 'TensorFlow']",CPAエクセレントパートナーズ 株式会社,435
9,269155,未経験エンジニア,['東京都'],280,360,[],株式会社 ピアズ,815
10,131157,【東京】エンジニア（ChatGPT等の先端技術の開発）【ID0000069】,['東京都'],699,1084,"['AWS', 'Azure', 'Google Cloud Platform']",株式会社 ジェーエムエーシステムズ,329
11,99076,【機械学習・データサイエンティスト】/Openworkスコア3.9（上位１％）,['東京都'],370,880,"['SQL', 'Python', 'AWS', 'Keras', 'pandas']",株式会社 ラクスパートナーズ,1108
12,293284,【業務委託】販売予測モデル構築エンジニア,['フルリモート'],200,0,"['SQL', 'Python']",株式会社 Prazto,30
13,288361,◢◤ビッグデータ人材◢◤データオペレーションスタッフ,['東京都'],400,800,"['SQL', 'Python']",TRUSTART 株式会社,31
